_ 1357495442
E 750239469
T 547634789
A 477056815
O 452044905
I 419228804
N 414778198
S 384215459
H 364293636
R 362563710
D 248744676
L 241205005
U 166009650
C 162956518
M 149654047
F 143979099
W 125815245
G 116155943
P 109920008
Y 108533882
B 92860281
V 59174969
K 40625715
X 11235768
J 8966893
Q 6836593
Z 4232687
